epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.757,1.65918,2.57286,1.53609,0.00702,0.84848,0.24672,0.13268,1.56114,3.08905,1.40759,0.00058,0.00058,0.00058
2,633.038,1.54938,1.92747,1.43524,0.4272,0.28788,0.26366,0.11894,1.85798,2.72639,1.71619,0.00117611,0.00117611,0.00117611
3,963.425,1.64245,1.93369,1.4565,0.49443,0.39697,0.35855,0.16111,1.97795,2.45579,1.82166,0.00176825,0.00176825,0.00176825
4,1255.97,1.64638,1.87207,1.50534,0.49416,0.41515,0.38643,0.17997,1.81299,2.90132,1.78,0.0019802,0.0019802,0.0019802
5,1566.9,1.5989,1.67562,1.46665,0.50226,0.29394,0.29885,0.14612,1.7675,2.92024,1.76076,0.0019736,0.0019736,0.0019736
6,1886.89,1.55699,1.65252,1.44432,0.51697,0.39697,0.40194,0.19576,1.74046,2.5874,1.7111,0.001967,0.001967,0.001967
7,2172.52,1.52749,1.64519,1.4128,0.53874,0.4,0.44099,0.21891,1.79724,2.67986,1.73328,0.0019604,0.0019604,0.0019604
8,2482.5,1.54732,1.58843,1.42962,0.58698,0.53403,0.5555,0.2772,1.6669,1.98916,1.54768,0.0019538,0.0019538,0.0019538
9,2778.02,1.5286,1.50199,1.41557,0.70913,0.4697,0.582,0.30558,1.62635,1.90971,1.5181,0.0019472,0.0019472,0.0019472
10,3067.57,1.48395,1.5109,1.39433,0.58912,0.37273,0.41114,0.22458,1.64645,2.07244,1.6585,0.0019406,0.0019406,0.0019406
11,3379.56,1.42363,1.67209,1.32983,0.59989,0.48788,0.53133,0.28873,1.61607,1.84566,1.54787,0.001934,0.001934,0.001934
12,3672.9,1.46175,1.37676,1.35847,0.59994,0.49697,0.53558,0.27431,1.6817,1.77641,1.60387,0.0019274,0.0019274,0.0019274
13,3954.95,1.4694,1.41123,1.3982,0.74078,0.56061,0.62136,0.33072,1.56263,1.5214,1.53363,0.0019208,0.0019208,0.0019208
14,4239.32,1.43976,1.34806,1.36097,0.75937,0.47576,0.60518,0.34815,1.51394,1.53577,1.46788,0.0019142,0.0019142,0.0019142
15,5665.89,1.36974,1.2287,1.31026,0.70497,0.52727,0.6099,0.29795,1.76577,1.72977,1.60576,0.0019076,0.0019076,0.0019076
